Year,Name,Gender,Count
1880,Lea,F,7
1880,Leanna,F,7
1880,Leitha,F,7
1880,Leone,F,7
1880,Lidie,F,7
1880,Loma,F,7
1880,Lular,F,7
1880,Magdalen,F,7
1880,Maymie,F,7
1880,Minervia,F,7
1880,Muriel,F,7
1880,Neppie,F,7
1880,Olie,F,7
1880,Onie,F,7
1880,Osa,F,7
1880,Otelia,F,7
1880,Paralee,F,7
1880,Patience,F,7
1880,Rella,F,7
1880,Rillie,F,7
1880,Rosanna,F,7
1880,Theo,F,7
1880,Tilda,F,7
1880,Tishie,F,7
1880,Tressa,F,7
1880,Viva,F,7
1880,Yetta,F,7
1880,Zena,F,7
1880,Zola,F,7
1880,Abby,F,6
1880,Aileen,F,6
1880,Alba,F,6
1880,Alda,F,6
1880,Alla,F,6
1880,Alverta,F,6
1880,Ara,F,6
1880,Ardelia,F,6
1880,Ardella,F,6
1880,Arrie,F,6
1880,Arvilla,F,6
1880,Augustine,F,6
1880,Aurora,F,6
1880,Bama,F,6
1880,Bena,F,6
1880,Byrd,F,6
1880,Calla,F,6
1880,Camilla,F,6
1880,Carey,F,6
1880,Carlotta,F,6
1880,Celestia,F,6
1880,Cherry,F,6
1880,Cinda,F,6
1880,Classie,F,6
1880,Claudine,F,6
1880,Clemie,F,6
1880,Clifford,F,6
1880,Clyda,F,6
1880,Creola,F,6
1880,Debbie,F,6
1880,Dee,F,6
1880,Dinah,F,6
1880,Doshia,F,6
1880,Ednah,F,6
1880,Edyth,F,6
1880,Eleanora,F,6
1880,Electa,F,6
1880,Eola,F,6
1880,Erie,F,6
1880,Eudora,F,6
1880,Euphemia,F,6
1880,Evalena,F,6
1880,Evaline,F,6
1880,Faith,F,6
1880,Fidelia,F,6
1880,Freddie,F,6
1880,Golda,F,6
1880,Harry,F,6
1880,Helma,F,6
1880,Hermine,F,6
1880,Hessie,F,6
1880,Ivah,F,6
1880,Janette,F,6
1880,Jennette,F,6
1880,Joella,F,6
1880,Kathryne,F,6
1880,Lacy,F,6
1880,Lanie,F,6
1880,Lauretta,F,6
1880,Leana,F,6
1880,Leatha,F,6
1880,Leo,F,6
1880,Liller,F,6
1880,Lillis,F,6
1880,Louetta,F,6
1880,Madie,F,6
1880,Mai,F,6
1880,Martina,F,6
1880,Maryann,F,6
